"Jobs","Code","Occupation_Type","Employment_2016","Employment_2026","Employment_Change_Number","Employment_Change_Percent","Percent_Self_Employed_2016","Occupational_Openings","Median_Annual_2017","Entry_Education","Work_Experience","layer1","layer2","layer3"
"Total, all occupations","00-0000","Summary",156063.8,167582.3,11518.6,7.4,6.1,18742,"37690","—","—","00","0","000"
"Management occupations","11-0000","Summary",9533.1,10340.4,807.3,8.5,19.8,841.5,"102590","—","—","11","0","000"
"Top executives","11-1000","Summary",2627.5,2824.5,197,7.5,3.2,235,"103120","—","—","11","1","000"
"Chief executives","11-1011","Line item",308.9,296.8,-12.1,-3.9,22.8,20,"183270","Bachelor's degree","5 years or more","11","1","011"
"General and operations managers","11-1021","Line item",2263.1,2468.3,205.2,9.1,0.6,210.7,"100410","Bachelor's degree","5 years or more","11","1","021"
"Legislators","11-1031","Line item",55.5,59.4,3.9,7.1,NA,4.4,"25630","Bachelor's degree","Less than 5 years","11","1","031"
"Advertising, marketing, promotions, public relations, and sales managers","11-2000","Summary",708.6,768.9,60.3,8.5,3.3,67.9,"123100","—","—","11","2","000"
"Advertising and promotions managers","11-2011","Line item",31.3,33,1.7,5.5,5.2,3.4,"106130","Bachelor's degree","Less than 5 years","11","2","011"
"Marketing managers","11-2021","Line item",218.3,240.4,22.1,10.1,3.5,21.3,"132230","Bachelor's degree","5 years or more","11","2","021"
"Sales managers","11-2022","Line item",385.5,414.4,28.9,7.5,3.6,36.3,"121060","Bachelor's degree","Less than 5 years","11","2","022"
"Public relations and fundraising managers","11-2031","Line item",73.5,81.1,7.7,10.4,NA,6.9,"111280","Bachelor's degree","5 years or more","11","2","031"
"Operations specialties managers","11-3000","Summary",1776.1,1985,208.9,11.8,1.4,160.4,"115700","—","—","11","3","000"
"Administrative services managers","11-3011","Line item",281.7,310.2,28.5,10.1,0.2,26.2,"94020","Bachelor's degree","Less than 5 years","11","3","011"
"Computer and information systems managers","11-3021","Line item",367.6,411.8,44.2,12,0.8,32.5,"139220","Bachelor's degree","5 years or more","11","3","021"
"Financial managers","11-3031","Line item",580.4,689,108.6,18.7,2.6,56.9,"125080","Bachelor's degree","5 years or more","11","3","031"
"Industrial production managers","11-3051","Line item",170.6,169.7,-0.9,-0.5,1.4,11.6,"100580","Bachelor's degree","5 years or more","11","3","051"
"Purchasing managers","11-3061","Line item",73.9,77.9,4,5.5,1.3,6.3,"115760","Bachelor's degree","5 years or more","11","3","061"
"Transportation, storage, and distribution managers","11-3071","Line item",115.5,123.3,7.8,6.7,1.1,9.7,"92460","High school diploma or equivalent","5 years or more","11","3","071"
"Compensation and benefits managers","11-3111","Line item",15.8,16.6,0.8,5,NA,1.2,"119120","Bachelor's degree","5 years or more","11","3","111"
"Human resources managers","11-3121","Line item",136.1,148.4,12.3,9.1,1.5,12.4,"110120","Bachelor's degree","5 years or more","11","3","121"
"Training and development managers","11-3131","Line item",34.5,38.1,3.6,10.3,NA,3.5,"108250","Bachelor's degree","5 years or more","11","3","131"
"Other management occupations","11-9000","Summary",4421,4762,341,7.7,39.7,378.3,"88720","—","—","11","9","000"
"Farmers, ranchers, and other agricultural managers","11-9013","Line item",1028.7,1020.7,-8,-0.8,72.5,74.3,"69620","High school diploma or equivalent","5 years or more","11","9","013"
"Construction managers","11-9021","Line item",403.8,448.6,44.8,11.1,37.8,33.2,"91370","Bachelor's degree","None","11","9","021"
"Education administrators, preschool and childcare center/program","11-9031","Line item",61.8,68.5,6.7,10.8,4.6,5.5,"46890","Bachelor's degree","Less than 5 years","11","9","031"
"Education administrators, elementary and secondary school","11-9032","Line item",251.3,271.1,19.8,7.9,0.9,21.2,"94390","Master's degree","5 years or more","11","9","032"
"Education administrators, postsecondary","11-9033","Line item",180.1,198.3,18.2,10.1,2.5,15.7,"92360","Master's degree","Less than 5 years","11","9","033"
"Education administrators, all other","11-9039","Line item",38.4,42.5,4.1,10.6,3,3.4,"81630","Bachelor's degree","Less than 5 years","11","9","039"
"Architectural and engineering managers","11-9041","Line item",180.1,190,9.9,5.5,NA,13.6,"137720","Bachelor's degree","5 years or more","11","9","041"
"Food service managers","11-9051","Line item",308.7,336.4,27.6,9,34,36.8,"52030","High school diploma or equivalent","Less than 5 years","11","9","051"
"Funeral service managers","11-9061","Line item",25.7,27.5,1.8,6.8,66.6,2,"78040","Associate's degree","Less than 5 years","11","9","061"
"Gaming managers","11-9071","Line item",4.5,4.6,0.1,2.5,3,0.5,"72930","High school diploma or equivalent","Less than 5 years","11","9","071"
"Lodging managers","11-9081","Line item",47.8,49.7,1.9,4,24.3,5,"51800","High school diploma or equivalent","Less than 5 years","11","9","081"
"Medical and health services managers","11-9111","Line item",352.2,424.3,72.1,20.5,2.6,36.7,"98350","Bachelor's degree","Less than 5 years","11","9","111"
"Natural sciences managers","11-9121","Line item",56.7,62.3,5.6,9.9,NA,5.2,"118970","Bachelor's degree","5 years or more","11","9","121"
"Postmasters and mail superintendents","11-9131","Line item",14.2,11.2,-3,-20.9,NA,0.6,"74840","High school diploma or equivalent","Less than 5 years","11","9","131"
"Property, real estate, and community association managers","11-9141","Line item",317.3,349.9,32.6,10.3,41.6,28.3,"58670","High school diploma or equivalent","Less than 5 years","11","9","141"
"Social and community service managers","11-9151","Line item",147.3,173.8,26.5,18,5.8,16.3,"64100","Bachelor's degree","Less than 5 years","11","9","151"
"Emergency management directors","11-9161","Line item",10.1,10.9,0.8,7.7,NA,0.9,"72760","Bachelor's degree","5 years or more","11","9","161"
"Managers, all other","11-9199","Line item",992.1,1071.7,79.5,8,56.7,79.2,"105610","Bachelor's degree","Less than 5 years","11","9","199"
"Business and financial operations occupations","13-0000","Summary",8066.8,8840.7,773.8,9.6,5.5,817.7,"67710","—","—","13","0","000"
"Business operations specialists","13-1000","Summary",5080.8,5556.3,475.4,9.4,4.3,528,"66390","—","—","13","1","000"
"Agents and business managers of artists, performers, and athletes","13-1011","Line item",19.1,20,0.9,4.7,21.2,2.3,"64940","Bachelor's degree","Less than 5 years","13","1","011"
"Buyers and purchasing agents, farm products","13-1021","Line item",13.7,12.9,-0.9,-6.2,4.9,1.4,"—","Bachelor's degree","None","13","1","021"
"Wholesale and retail buyers, except farm products","13-1022","Line item",123.3,120.3,-3,-2.5,11.5,13.3,"—","Bachelor's degree","None","13","1","022"
"Purchasing agents, except wholesale, retail, and farm products","13-1023","Line item",309.4,292.1,-17.4,-5.6,0.7,23.8,"—","Bachelor's degree","None","13","1","023"
"Claims adjusters, examiners, and investigators","13-1031","Line item",311.1,306.7,-4.5,-1.4,1.6,24.5,"64900","High school diploma or equivalent","None","13","1","031"
"Insurance appraisers, auto damage","13-1032","Line item",17.6,18.5,0.9,4.9,2,1.5,"62100","Postsecondary nondegree award","None","13","1","032"
"Compliance officers","13-1041","Line item",288.3,312,23.7,8.2,0.4,25.9,"67870","Bachelor's degree","None","13","1","041"
"Cost estimators","13-1051","Line item",217.9,240.8,22.9,10.5,1.1,24.4,"63110","Bachelor's degree","None","13","1","051"
"Human resources specialists","13-1071","Line item",547.8,586.7,38.9,7.1,0.9,57.6,"60350","Bachelor's degree","None","13","1","071"
"Farm labor contractors","13-1074","Line item",3,3.2,0.2,8,NA,0.3,"35660","No formal educational credential","Less than 5 years","13","1","074"
"Labor relations specialists","13-1075","Line item",81.1,74.8,-6.3,-7.7,1,6.8,"63200","Bachelor's degree","Less than 5 years","13","1","075"
"Logisticians","13-1081","Line item",148.7,159,10.3,6.9,NA,15.6,"74590","Bachelor's degree","None","13","1","081"
"Management analysts","13-1111","Line item",806.4,921.6,115.2,14.3,17.4,83.9,"82450","Bachelor's degree","Less than 5 years","13","1","111"
"Meeting, convention, and event planners","13-1121","Line item",116.7,129.4,12.7,10.9,9.5,15.1,"48290","Bachelor's degree","None","13","1","121"
"Fundraisers","13-1131","Line item",90.4,103.8,13.4,14.8,2.3,10.7,"55640","Bachelor's degree","None","13","1","131"
"Compensation, benefits, and job analysis specialists","13-1141","Line item",84.2,91.3,7.2,8.5,0.2,7.7,"62680","Bachelor's degree","Less than 5 years","13","1","141"
"Training and development specialists","13-1151","Line item",282.8,315.3,32.5,11.5,1.2,31.7,"60360","Bachelor's degree","Less than 5 years","13","1","151"
"Market research analysts and marketing specialists","13-1161","Line item",595.4,733.7,138.3,23.2,3.6,77.1,"63230","Bachelor's degree","None","13","1","161"
"Business operations specialists, all other","13-1199","Line item",1023.9,1114.3,90.3,8.8,0.6,104.2,"70010","Bachelor's degree","None","13","1","199"
"Financial specialists","13-2000","Summary",2986,3284.4,298.4,10,7.5,289.6,"70120","—","—","13","2","000"
"Accountants and auditors","13-2011","Line item",1397.7,1537.6,139.9,10,6.7,141.8,"69350","Bachelor's degree","None","13","2","011"
"Appraisers and assessors of real estate","13-2021","Line item",80.8,92.4,11.7,14.4,22.6,6.7,"54010","Bachelor's degree","None","13","2","021"
"Budget analysts","13-2031","Line item",58.4,62.2,3.8,6.5,NA,4.8,"75240","Bachelor's degree","None","13","2","031"
